season,episode_number,air_date,count
2,12,2014-10-07T00:00:00-07:00,0
2,13,2014-10-08T00:00:00-07:00,0
2,14,2014-10-09T00:00:00-07:00,0
2,15,2014-10-10T00:00:00-07:00,0
2,16,2014-10-13T00:00:00-07:00,0
2,17,2014-10-14T00:00:00-07:00,0
2,18,2014-10-15T00:00:00-07:00,0
2,20,2014-10-17T00:00:00-07:00,0
2,21,2014-10-27T00:00:00-07:00,0
2,22,2014-10-28T00:00:00-07:00,1
2,23,2014-10-29T00:00:00-07:00,1
2,24,2014-10-30T00:00:00-07:00,0
2,25,2014-10-31T00:00:00-07:00,0
2,26,2014-11-03T00:00:00-08:00,0
2,27,2014-11-04T00:00:00-08:00,0
2,28,2014-11-05T00:00:00-08:00,2
2,29,2014-11-06T00:00:00-08:00,0
2,30,2014-11-07T00:00:00-08:00,0
2,31,2014-11-10T00:00:00-08:00,0
2,32,2014-11-11T00:00:00-08:00,0
2,33,2014-11-12T00:00:00-08:00,0
2,34,2014-11-13T00:00:00-08:00,0
2,35,2014-11-14T00:00:00-08:00,0
2,36,2014-11-17T00:00:00-08:00,0
2,37,2014-11-18T00:00:00-08:00,0
2,38,2014-11-19T00:00:00-08:00,0
2,39,2014-11-20T00:00:00-08:00,0
2,40,2014-11-21T00:00:00-08:00,0
2,41,2014-11-24T00:00:00-08:00,0
2,42,2014-11-25T00:00:00-08:00,0
2,43,2014-11-26T00:00:00-08:00,0
2,44,2014-11-27T03:35:00-08:00,0
2,45,2014-12-01T00:00:00-08:00,0
2,46,2014-12-02T00:00:00-08:00,0
2,47,2014-12-08T00:00:00-08:00,0
2,48,2014-12-09T00:00:00-08:00,0
2,49,2014-12-10T00:00:00-08:00,0
2,50,2014-12-11T00:00:00-08:00,0
2,51,2014-12-12T00:00:00-08:00,0
2,52,2014-12-15T00:00:00-08:00,0
2,53,2014-12-16T00:00:00-08:00,0
2,54,2014-12-17T00:00:00-08:00,0
2,55,2014-12-18T00:00:00-08:00,1
2,56,2014-12-19T00:00:00-08:00,0
2,57,2014-12-22T00:00:00-08:00,0
2,58,2014-12-23T00:00:00-08:00,0
2,59,2015-01-05T00:00:00-08:00,0
2,60,2015-01-06T00:00:00-08:00,0
2,61,2015-01-07T00:00:00-08:00,0
