season,episode_number,air_date,url,name,description
1,39,04/10/14,http://www.imdb.com/title/tt3628238/,Kevin Costner/Danica McKellar/Alan Cumming & the Broadway Cast of Cabaret,"Kevin Costner (Draft Day (2014)); Danica McKellar. Also: Alan Cumming and the cast of Broadway's ""Cabaret"" perform; Philip Bailey sits in with The Roots."
1,40,04/11/14,http://www.imdb.com/title/tt3628244/,Nicolas Cage/Emily VanCamp/Kiss,Nicolas Cage; Emily VanCamp. Also: KISS perform.
1,41,04/21/14,http://www.imdb.com/title/tt3649532/,Brian Williams/Christina Hendricks/Chef Ilan Hall,Brian Williams (NBC Nightly News with Lester Holt (1970)); Christina Hendricks (Mad Men (2007)); chef Ilan Hall.
1,42,04/22/14,http://www.imdb.com/title/tt3649530/,David Duchovny/John Oliver/Rita Ora,David Duchovny; John Oliver. Also: Rita Ora performs.
1,43,04/23/14,http://www.imdb.com/title/tt3649528/,Cameron Diaz/Jim Gaffigan/Future Featuring Pusha T,Actress Cameron Diaz; comic Jim Gaffigan. Also: Future performs with Pusha T and The Roots.
1,44,04/24/14,http://www.imdb.com/title/tt3649526/,Dr. Phil McGraw/James Van Der Beek/Courtney Barnett,Dr. Phil McGraw; James Van Der Beek. Also: Courtney Barnett performs; Steven Tyler & Joe Perry sit in with The Roots.
1,45,04/25/14,http://www.imdb.com/title/tt3649534/,Jamie Foxx/Alan Cumming/Alicia Keys and Kendrick Lamar,Jamie Foxx; Alan Cumming. Also: Alicia Keys & Kendrick Lamar perform.
1,46,04/28/14,http://www.imdb.com/title/tt3677252/,Emma Stone/Robinson Cano/Keith Urban,Emma Stone; Robinson Cano. Also: Keith Urban performs.
1,47,04/29/14,http://www.imdb.com/title/tt3677250/,Diane Keaton/Dane DeHaan/David Byrne,Diane Keaton; Dane DeHaan. Also: David Byrne performs; Daley performs with the Roots. Diane wins at beer Pong with Jimmy. Instead of beer they drink red wine with ice.
1,48,04/30/14,http://www.imdb.com/title/tt3677254/,David Spade/Sophia Bush/The Both,David Spade; Sophia Bush. Also: The Both perform.
1,49,05/01/14,http://www.imdb.com/title/tt3677258/,Andrew Garfield/Mary Lynn Rajskub/Chvrches,Andrew Garfield; Mary Lynn Rajskub. Also: Chvrches perform.
1,50,05/02/14,http://www.imdb.com/title/tt3677256/,Kevin Spacey/Lewis Black,"Know what this is about?
 Be the first one to add a plot."
1,51,05/05/14,http://www.imdb.com/title/tt3689388/,Bryan Cranston/Brie Larson/Kevin Delaney,Bryan Cranston (Breaking Bad (2008)); Brie Larson (Community (2009)); Kevin Delaney.
1,52,05/06/14,http://www.imdb.com/title/tt3689390/,Seth Rogen/Matt Bomer/Coldplay,Seth Rogen; Matt Bomer. Also: Coldplay perform.
1,53,05/07/14,http://www.imdb.com/title/tt3689392/,Zac Efron/Guy Fieri/Jadeveon Clowney/Sarah McLachlan,Zac Efron; Guy Fieri; Jadeveon Clowney. Also: Sarah McLachlan performs.
1,54,05/08/14,http://www.imdb.com/title/tt3689396/,Michael Fassbender/Zoe Saldana/Fallonventions,"Michael Fassbender; Zoe Saldana. Also: ""Fallonventions""."
1,55,05/09/14,http://www.imdb.com/title/tt3689398/,James McAvoy/Amy Schumer/tUnE-yArDs,James McAvoy; Amy Schumer. Also: Tune-Yards perform.
1,56,05/12/14,http://www.imdb.com/title/tt3706762/,Louis CK/Neil Young and Jack White,Comic Louis C.K.; musicians Neil Young and Jack White; Neil Young performs.
1,57,05/13/14,http://www.imdb.com/title/tt3703802/,Dolly Parton/Taylor Kitsch,Dolly Parton performs and is interviewed. Also: Taylor Kitsch (The Normal Heart (2014)).
1,58,05/14/14,http://www.imdb.com/title/tt3706770/,Maya Rudolph/Robert Duvall/Lily Allen,Maya Rudolph; Robert Duvall. Also: Lily Allen performs.
1,59,05/15/14,http://www.imdb.com/title/tt3706764/,Jennifer Lawrence/Craig Robinson/A Gentleman's Guide to Love and Murder,"Jennifer Lawrence; Craig Robinson. Also: ""A Gentleman's Guide to Love and Murder""."
1,60,05/16/14,http://www.imdb.com/title/tt3706774/,Drew Barrymore/Giovanni Ribisi/Elbow,Drew Barrymore; Giovanni Risibi. Also: Elbow perform.
1,61,05/19/14,http://www.imdb.com/title/tt3734258/,Liam Neeson/Terry Crews/Conor Oberst,Liam Neeson; Terry Crews. Also: Conor Oberst performs.
1,62,05/20/14,http://www.imdb.com/title/tt3734260/,Charlize Theron/Josh Hartnett/The Roots,"Charlize Theron and Steve Higgins take on Josh Hartnett in a game of Charades, also The Roots perform."
1,63,05/21/14,http://www.imdb.com/title/tt3734262/,Hugh Jackman/Jimmy Page/Barry Gibb/Josh Kaufman,"Hugh Jackman; Jimmy Page. Also: Barry Gibb performs; Josh Kaufman, the winner of ""The Voice"", sits in with the Roots."
1,64,05/22/14,http://www.imdb.com/title/tt3734264/,Amanda Seyfried/Will Ferrell and Chad Smith/Red Hot Chili Peppers,Amanda Seyfried; Will Ferrell; Chad Smith. Also: Red Hot Chili Peppers perform.
1,65,05/23/14,http://www.imdb.com/title/tt3734268/,Seth MacFarlane/Thandie Newton/Rascal Flatts,Seth MacFarlane; Thandie Newton. Also: Rascal Flatts perform.
1,66,06/02/14,http://www.imdb.com/title/tt3743724/,Ricky Gervais/Ansel Elgort/Miranda Lambert,Ricky Gervais (Night at the Museum 3 (2014)); Ansel Elgort (The Fault in Our Stars (2014)). Also: Miranda Lambert performs.
1,67,06/03/14,http://www.imdb.com/title/tt3743720/,Jonah Hill/Mayor Rahm Emanuel/Soundgarden,Jonah Hill; Rahm Emanuel. Also: Soundgarden perform.
1,68,06/04/14,http://www.imdb.com/title/tt3743722/,Tom Cruise/Kendall and Kylie Jenner/Chrissie Hynde,Tom Cruise; Kendall and Kylie Jenner. Also: Chrissie Hynde performs with the Roots.
1,69,06/05/14,http://www.imdb.com/title/tt3743726/,Mike Myers/Neil DeGrasse Tyson/Damon Albarn,Mike Myers; Neil deGrasse Tyson. Also: Damon Albarn performs.
1,70,06/06/14,http://www.imdb.com/title/tt3743730/,Channing Tatum/Joshua Toposky/Julian McCullough,Channing Tatum; Joshua Toposky; Julian McCullough.
1,71,06/09/14,http://www.imdb.com/title/tt3765808/,Clint Eastwood/Jack White,Clint Eastwood. Also: Jack White performs and is interviewed.
1,72,06/10/14,http://www.imdb.com/title/tt3765810/,Jim Carrey and Jeff Daniels/Taylor Schilling/Ed Sheeran,Jim Carrey and Jeff Daniels (Dumb and Dumber To (2014)); Taylor Schilling (Orange Is the New Black (2013)). Also: Ed Sheeran performs.
1,73,06/11/14,http://www.imdb.com/title/tt3765812/,Barbara Walters/Mama June & Honey Boo Boo/Iliza Shlesinger,"Barbara Walters; June Shannon (""Mama June"") and Alana Thompson (""Honey Boo Boo""); Iliza Shlesinger."
1,74,06/12/14,http://www.imdb.com/title/tt3765806/,Chris Rock/N.J. Gov. Chris Christie/Kacey Musgraves,Chris Rock (Top Five (2014)); New Jersey governor Chris Christie. Also: Kacey Musgraves performs.
1,75,06/13/14,http://www.imdb.com/title/tt3785582/,Dave Chappelle/Body Count,Dave Chappelle. Also: Body Count perform.
1,76,06/16/14,http://www.imdb.com/title/tt3799488/,Jennifer Lopez/Keenen Ivory Wayans,Jennifer Lopez performs and is interviewed. Also: Keenen Ivory Wayans.
1,77,06/17/14,http://www.imdb.com/title/tt3799494/,Kevin Hart/Jimmy Buffett,Kevin Hart (Top Five (2014)). Also: Jimmy Buffett performs and is interviewed.
1,78,06/18/14,http://www.imdb.com/title/tt3799492/,Rosario Dawson/Jeff Musial/Fun,Rosario Dawson (Top Five (2014)); Jeff Musial. Also: Fun. perform.
1,79,06/19/14,http://www.imdb.com/title/tt3799498/,George Lopez/Pitbull,George Lopez. Also: Pitbull performs and is interviewed.
1,80,07/07/14,http://www.imdb.com/title/tt3799502/,"Kiefer Sutherland/Nicole Richie/Crosby, Stills and Nash","Kiefer Sutherland (24: Live Another Day (2014)); Nicole Richie. Also: Crosby, Stills and Nash perform."
1,81,07/08/14,http://www.imdb.com/title/tt3819760/,Halle Berry/Chris Colfer/Florida Georgia Line,Halle Berry (Extant (2014)); Chris Colfer (Glee (2009)). Also: Florida Georgia Line perform.
1,82,07/09/14,http://www.imdb.com/title/tt3819762/,Kelly Ripa/Joe Manganiello/Sylvan Esso,Kelly Ripa (Live with Kelly and Michael (1988)); Joe Manganiello (True Blood (2008)). Also: Sylvan Esso performs.
1,83,07/10/14,http://www.imdb.com/title/tt3819764/,Dana Carvey/Hailee Steinfeld/Magic!,Dana Carvey; Hailee Steinfeld (The Keeping Room (2014)). Also: Magic! perform.
1,84,07/11/14,http://www.imdb.com/title/tt3819766/,Liev Schreiber/Rob Reiner/Gabriel Iglesias,Liev Schreiber (Ray Donovan (2013)); Rob Reiner (And So It Goes (2014)); Gabriel Iglesias.
1,85,07/14/14,http://www.imdb.com/title/tt3816706/,Michael Strahan/Diane Kruger/Phish,Michael Strahan (Live with Kelly and Michael (1988)); Diane Kruger (The Bridge (2013)). Also: Phish perform.
1,86,07/15/14,http://www.imdb.com/title/tt3816710/,Cameron Diaz/Josh Gad/Bleachers,Cameron Diaz (Sex Tape (2014)); Josh Gad (Wish I Was Here (2014)). Also: Bleachers perform.
1,87,07/16/14,http://www.imdb.com/title/tt3816714/,Whoopi Goldberg/Stephen Moyer/Puss N Boots,Whoopi Goldberg (The View (1997)); Stephen Moyer (True Blood (2008)). Also: Puss n Boots perform.
1,88,07/17/14,http://www.imdb.com/title/tt3816712/,John Lithgow/Miranda Kerr/Jason Mraz,John Lithgow (The Homesman (2014)); model Miranda Kerr. Also: Jason Mraz performs.
1,89,07/18/14,http://www.imdb.com/title/tt3816716/,Dan Aykroyd/Chaz Ebert/Nick Thune,Dan Aykroyd (Get on Up (2014)); Chaz Ebert; Nick Thune (The Breakup Girl (2015)).
1,90,07/21/14,http://www.imdb.com/title/tt3865256/,Kate Hudson/Ellar Coltrane/Nico and Vinz,"Kate Hudson (Wish I Was Here (2014)); Ellar Coltrane (Boyhood (2014)). Also: ""Nico and Vinz"" perform."
1,91,07/22/14,http://www.imdb.com/title/tt3865262/,Dwayne Johnson/Mel B/Chronixx,Dwayne Johnson (Hercules (2014)); Melanie Brown (aka Mel B). Also: Chronixx performs.
1,92,07/23/14,http://www.imdb.com/title/tt3865258/,Robin Wright/Josh Charles/Weezer,Robin Wright (House of Cards (2013)); Josh Charles (The Good Wife (2009)). Also: Weezer performs.
1,93,07/24/14,http://www.imdb.com/title/tt3865264/,Morgan Freeman/Kesha/Tweedy,Morgan Freeman (The Lego Movie (2014)); Kesha. Jimmy interviews Morgan after they both inhale helium. Also: Tweedy perform.
1,94,07/25/14,http://www.imdb.com/title/tt3865260/,Jon Hamm/Brit Marling/Martha Stewart,Jon Hamm (Mad Men (2007); Brit Marling (Babylon (2014)); Martha Stewart.
1,95,07/28/14,http://www.imdb.com/title/tt3895982/,James Franco/Chadwick Boseman/Jenny Lewis,James Franco; Chadwick Boseman. Also: Jenny Lewis performs.
1,96,07/29/14,http://www.imdb.com/title/tt3895988/,Vin Diesel/Aubrey Plaza/Will.i.am,Vin Diesel; Aubrey Plaza. Also: Will.i.am performs with The Roots.
1,97,07/30/14,http://www.imdb.com/title/tt3895994/,Heidi Klum/Michael Birbiglia/Temples,Heidi Klum (America's Got Talent (2006)); Mike Birbiglia. Also: Temples perform.
1,98,07/31/14,http://www.imdb.com/title/tt3895996/,Julia Roberts/Andy Cohen/Ron Funches,Julia Roberts; Andy Cohen; Ron Funches.
1,99,08/01/14,http://www.imdb.com/title/tt3895998/,Martin Lawrence/Jenny Slate/Aloe Blacc,Martin Lawrence (Partners (2014)); Jenny Slate (Married (2014)). Also: Aloe Blacc performs.
1,100,08/04/14,http://www.imdb.com/title/tt3896000/,Helen Mirren/James Cameron/Spoon,Helen Mirren (The Hundred-Foot Journey (2014)); director and explorer James Cameron (Deepsea Challenge 3D (2014)). Also: Spoon performs.
1,101,08/05/14,http://www.imdb.com/title/tt3909286/,Clive Owen/Nina Dobrev/The Head & the Heart,Clive Owen (The Knick (2014)); Nina Dobrev (Let's Be Cops (2014)). Also: The Head and the Heart perform.
1,102,08/06/14,http://www.imdb.com/title/tt3909288/,Megan Fox/Nick Cannon/Wiz Khalifa,Megan Fox (Teenage Mutant Ninja Turtles (2014)); Nick Cannon (America's Got Talent (2006)). Also: Wiz Khalifa performs with The Roots; Lester Holt sits in with The Roots.
1,103,08/07/14,http://www.imdb.com/title/tt3909290/,Will Arnett/T.I.,"Will Arnett (Teenage Mutant Ninja Turtles (2014)). Also: T.I. (""T.I. and Tiny: The Family Hustle"" (2011)) is interviewed and performs with The Roots."
1,104,08/08/14,http://www.imdb.com/title/tt3909292/,Jeff Bridges/Ali Larter/Andy Woodhull,"Jeff Bridges (The Giver (2014)); Ali Larter (Legends (2014), cookbook ""Kitchen Revelry""); Andy Woodhull performs stand-up."
1,105,08/11/14,http://www.imdb.com/title/tt3909294/,Katie Holmes/Chris Hardwick/OneRepublic,Katie Holmes (The Giver (2014)); Chris Hardwick (@midnight (2013)). Also: OneRepublic performs.
1,106,08/12/14,http://www.imdb.com/title/tt3925042/,Mickey Rourke/Rob Riggle/Kings of Leon,Mickey Rourke (Sin City: A Dame to Kill For (2014)); Rob Riggle (Let's Be Cops (2014)). Also: Kings of Leon perform; Ace Frehley sits in with The Roots.
1,107,08/13/14,http://www.imdb.com/title/tt3923244/,Taylor Swift/Andrew Rannells/Ryan Adams and the Shining,"Taylor Swift (The Giver (2014)); Andrew Rannells (Broadway play ""Hedwig and the Angry Inch""). Also: Ryan Adams and The Shining perform."
1,108,08/14/14,http://www.imdb.com/title/tt3923250/,Sylvester Stallone/Eve Hewson/Rod Man,Sylvester Stallone (The Expendables 3 (2014)); Eve Hewson (The Knick (2014)); Last Comic Standing (2003) winner Rod Man performs stand-up.
1,109,08/15/14,http://www.imdb.com/title/tt3923252/,Jason Statham/Demi Lovato/Chef David Chang,Jason beats Jimmy at a game of hamster ball race. Jason Statham (The Expendables 3 (2014)); singer Demi Lovato; chef David Chang makes chicken hot wings.
1,110,08/18/14,http://www.imdb.com/title/tt3925044/,Bill Cosby/Rory McIlroy & Tiger Woods/Röyksopp and Robyn,Comedian Bill Cosby; golfers Rory McIlroy and Tiger Woods discuss the Nike Vaper clubs they helped design. Also: Röyksopp and Robyn Carlsson perform.
1,111,08/19/14,http://www.imdb.com/title/tt3958258/,Pierce Brosnan/Tavi Gevinson/The Madden Brothers,"Pierce Brosnan (The November Man (2014)); Tavi Gevinson (Broadway play ""This Is Our Youth""). Also: The Madden Brothers perform."
1,112,08/20/14,http://www.imdb.com/title/tt3958260/,Jared Leto/Amy Brenneman/Thirty Seconds to Mars,Musician-actor Jared Leto; Amy Brenneman (The Leftovers (2014)). Also: 30 Seconds to Mars performs; Tom Bailey sits in with The Roots.
1,113,08/21/14,http://www.imdb.com/title/tt3958262/,Josh Brolin/Artie Lange/Giada De Laurentiis,"Josh Brolin (Sin City: A Dame to Kill For (2014)); Artie Lange (book ""Crash and Burn""); Giada De Laurentiis (Giada at Home (2008)) makes veal saltimbocca and cocktails."
1,114,08/22/14,http://www.imdb.com/title/tt3958264/,Ethan Hawke/Amy Sedaris/The Secret Sisters,Ethan Hawke (Boyhood (2014)); Amy Sedaris (BoJack Horseman (2014)). Also: The Secret Sisters perform.
2,1,09/02/14,http://www.imdb.com/title/tt3958266/,Adam Levine/Meredith Vieira/Maroon 5,Adam Levine (The Voice (2011)); Meredith Vieira (The Meredith Vieira Show (2014)). Also: Maroon 5 performs.
2,2,09/03/14,http://www.imdb.com/title/tt3976110/,Blake Shelton/Tim Heidecker and Eric Wareheim,Blake Shelton (The Voice (2011)) is interviewed and performs; Tim Heidecker and Eric Wareheim (Tim and Eric's Bedtime Stories (2013)). Also: Sheila E. sits in with The Roots.
2,3,09/04/14,http://www.imdb.com/title/tt3976112/,Larry David/Gisele Bündchen/Jeezy feat. Future,"Larry David (Broadway play ""Fish in the Dark""); model Gisele Bündchen discusses her new ad campaign for Under Armour. Also: Jeezy performs with Future."
