season,episode_number,rating,rating_count
1,148,6.2,9
1,149,6.0,8
1,150,5.7,7
1,151,5.7,7
1,152,5.6,7
1,153,5.7,7
1,154,6.0,8
1,155,5.9,7
1,156,6.8,5
1,157,6.6,9
1,158,6.4,8
1,159,6.1,8
1,160,5.6,7
1,161,6.6,9
1,162,5.6,5
1,163,6.1,8
1,164,5.9,9
1,165,5.6,7
1,166,6.0,7
1,167,5.7,7
1,168,5.6,8
1,169,6.2,5
1,170,6.0,8
1,171,6.3,9
1,172,5.9,9
1,173,6.1,8
1,174,5.6,8
1,175,6.0,9
1,176,5.8,10
1,177,5.8,8
1,178,7.9,19
1,179,7.8,12
1,180,7.4,10
1,181,8.1,22
1,182,7.2,8
1,183,7.3,11
1,184,7.5,10
1,185,7.5,10
1,186,6.9,8
1,187,6.0,9
1,188,7.4,9
1,189,7.2,11
1,190,6.6,8
1,191,6.9,7
1,192,7.4,10
1,193,6.8,12
1,194,7.1,9
1,195,7.0,9
1,196,7.2,8
1,197,7.0,7
1,198,8.2,6
1,199,7.0,9
1,200,8.2,5
1,201,6.9,7
1,202,8.0,5
