season,episode_number,air_date,url,name,description
1,1,09/08/15,http://www.imdb.com/title/tt4470510/,George Clooney/Governor Jeb Bush/Mavis Staples & Friends,"Stephen Colbert succeeds David Letterman as ""Late Show"" host, with his first guests George Clooney and Governor Jeb Bush. Also: Mavis Staples performs with various additional guests; Jonathan Batiste and Stay Human debut as the house band."
1,2,09/09/15,http://www.imdb.com/title/tt4865772/,Scarlett Johansson/Elon Musk/Kendrick Lamar,Scarlett Johansson (Avengers: Age of Ultron (2015)); SpaceX and Tesla Motors CEO Elon Musk. Also: Kendrick Lamar performs.
1,3,09/10/15,http://www.imdb.com/title/tt4865770/,Vice President Joe Biden/Travis Kalanick/Toby Keith,Vice President Joe Biden; Uber CEO Travis Kalanick. Also: Toby Keith performs.
1,4,09/11/15,http://www.imdb.com/title/tt4865768/,Amy Schumer/Stephen King/Troubled Waters,Amy Schumer (Trainwreck (2015)); author Stephen King; Paul Simon performs.
1,5,09/14/15,http://www.imdb.com/title/tt5003200/,Emily Blunt/Justice Stephen Breyer/The Dead Weather,Actress Emily Blunt (Sicario (2015)); Supreme Court justice Stephen Breyer; The Dead Weather performs.
1,6,09/15/15,http://www.imdb.com/title/tt5003208/,Jake Gyllenhaal/Apple CEO Tim Cook/Run the Jewels & TV on the Radio,Actor Jake Gyllenhaal (Everest (2015)); Apple CEO Tim Cook; Run the Jewels performs with TV on the Radio.
1,7,09/16/15,http://www.imdb.com/title/tt5003218/,Kevin Spacey/Carol Burnett/Abbi Jacobson & Ilana Glazer/Willie Nelson & John Mellencamp,Actor Kevin Spacey; TV legend Carol Burnett with comics Abbi Jacobson and Ilana Glazer; Willie Nelson and John Mellencamp are interviewed and perform.
1,8,09/17/15,http://www.imdb.com/title/tt5003230/,Trevor Noah/Ban Ki-Moon/Chris Stapleton,Trevor Noah (The Daily Show (1996)); United Nations secretary-general Ki-moon Ban. Also: Chris Stapleton performs.
1,9,09/18/15,http://www.imdb.com/title/tt5003246/,"Lupita Nyong'o/Sen. Bernie Sanders/Cast of ""An American in Paris""","Actress Lupita Nyong'o; Sen. Bernie Sanders (D-Ind.-Vt.); a performance from ""An American in Paris"" stars Christopher Wheeldon, Robert Fairchild and Leanne Cope."
1,10,09/21/15,http://www.imdb.com/title/tt5017722/,Steph Curry/Sen. Ted Cruz/Don Henley,NBA MVP Stephen Curry; 2016 Republican presidential candidate Sen. Ted Cruz (R-Texas). Also: Don Henley performs.
1,11,09/22/15,http://www.imdb.com/title/tt5017742/,Donald Trump/Ernest Moniz/Raury,2016 presidential candidate Donald J. Trump; U.S. Secretary of Energy Ernest Moniz. Also: Raury performs.
1,12,09/23/15,http://www.imdb.com/title/tt5017752/,Hugh Jackman/Sen. Elizabeth Warren/Pearl Jam,Hugh Jackman (Pan (2015)); Sen. Elizabeth Warren (D-Mass.). Also: Pearl Jam perform.
1,13,09/24/15,http://www.imdb.com/title/tt5017758/,Andrew Sullivan/Maria Shriver/Jim Gaffigan/Archbishop Thomas Wenski,Author Andrew Sullivan; journalist and activist Maria Shriver; comedian Jim Gaffigan (The Jim Gaffigan Show (2015)); Archbishop Thomas Wenski. Also: The YMCA Jerusalem Youth Chorus and the Choir of St. Jean Baptiste perform.
1,14,09/25/15,http://www.imdb.com/title/tt5017766/,Malala Yousafzai/Kerry Washington/The Arcs,Nobel Prize Laureate Malala Yousafzai (He Named Me Malala (2015)); Kerry Washington (Scandal (2012)). Also: The Arcs perform.
1,15,09/28/15,http://www.imdb.com/title/tt5060616/,Michelle Obama/Mindy Kaling/John Legend,First Lady Michelle Obama; Mindy Kaling (The Mindy Project (2012)). Also: John Legend performs.
1,16,09/29/15,http://www.imdb.com/title/tt5060618/,Ellen Page/Jesse Eisenberg/Dominic Wilcox,Ellen Page (Freeheld (2015)); Jesse Eisenberg (Louder Than Bombs (2015)); inventor/designer Dominic Wilcox.
1,17,09/30/15,http://www.imdb.com/title/tt5060620/,Elizabeth Gilbert/John Oliver/Evan Spiegel/Bill Withers/Ed Sheeran,Elizabeth Gilbert; John Oliver; Snapchat co-founder Evan Spiegel; singer/songwriter Bill Withers. Also: Ed Sheeran performs.
1,18,10/01/15,http://www.imdb.com/title/tt5060634/,Secretary of State John Kerry/Claire Danes/PewDiePie,Secretary of State John Kerry; Claire Danes (Homeland (2011)); comic Felix Kjellberg (aka PewDiePie).
1,19,10/02/15,http://www.imdb.com/title/tt5060638/,Morgan Freeman/Ruth Wilson/Sean Murray,Morgan Freeman (Momentum (2015)); Ruth Wilson (The Affair (2014)); Hello Games co-founder Sean Murray.
1,20,10/05/15,http://www.imdb.com/title/tt5073574/,John McCain/Yo-Yo Ma/Misty Copeland,Sen. John McCain (R-Ariz.); cellist Yo-Yo Ma; a performance by ballerina Misty Copeland.
1,21,10/06/15,http://www.imdb.com/title/tt5073596/,Bill Clinton/Billy Eichner/Florence and the Machine,Bill Clinton; comedian Billy Eichner (Parks and Recreation (2009) and Difficult People (2015)). Also: Florence and the Machine perform.
1,22,10/07/15,http://www.imdb.com/title/tt5101686/,Gina Rodriguez/Ben Bernanke/Tame Impala,Gina Rodriguez (Jane the Virgin (2014)); economist Ben Bernanke. Also: Tame Impala perform.
1,23,10/08/15,http://www.imdb.com/title/tt5073590/,Cate Blanchett/Airbnb CEO Brian Chesky,Cate Blanchett (Truth (2015)); Airbnb CEO Brian Chesky; Dartmonth College football dummy.
1,24,10/09/15,http://www.imdb.com/title/tt5101692/,James Corden/Shane Smith/Halsey,James Corden (The Late Late Show with James Corden (2015)); Vice Media CEO Shane Smith. Also: Halsey performs.
1,25,10/12/15,http://www.imdb.com/title/tt5101690/,Carey Mulligan/Elvis Costello/Darlene Love,"Carey Mulligan (The Walker (2015)); author Elvis Costello (book ""Unfaithful Music""). Also: Darlene Love performs."
1,26,10/13/15,http://www.imdb.com/title/tt5101694/,Sarah Silverman/Elijah Wood/The Legends of Zelda: Symphony of the Goddesses,Sarah Silverman (Gravy (2015)); Elijah Wood (The Last Witch Hunter (2015)). Also: a performance from 'The Legend of Zelda: Symphony of the Goddesses'.
1,27,10/14/15,http://www.imdb.com/title/tt5101696/,Jack Black/Nick Woodman/Michelle Dorrance,Jack Black (Goosebumps (2015)); GoPro CEO Nick Woodman. Also: a performance by tap dancer Michelle Dorrance.
