season,episode_number,rating,rating_count
5,36,N/A,N/A
6,36,7.2,8
7,36,6.8,10
8,36,7.8,12
9,36,7.0,9
2,37,7.5,8
3,37,6.6,7
4,37,6.9,7
5,37,7.9,8
7,37,7.2,8
8,37,7.9,11
9,37,7.7,9
10,37,8.1,8
2,38,7.9,9
3,38,7.1,8
4,38,6.4,8
5,38,N/A,N/A
7,38,7.6,5
8,38,7.5,11
9,38,8.8,16
10,38,8.1,7
2,39,7.3,9
3,39,6.6,7
4,39,6.7,7
5,39,N/A,N/A
7,39,7.0,8
8,39,7.6,11
9,39,7.7,9
10,39,8.1,13
2,40,7.4,8
3,40,6.6,7
4,40,6.6,7
5,40,N/A,N/A
6,40,N/A,N/A
7,40,7.0,5
8,40,7.7,10
9,40,7.5,10
10,40,7.6,10
2,41,7.4,7
3,41,6.6,7
4,41,6.9,7
5,41,N/A,N/A
7,41,7.6,5
8,41,7.7,11
9,41,6.9,9
2,42,7.4,8
3,42,6.6,7
4,42,7.1,8
5,42,N/A,N/A
7,42,7.6,5
8,42,7.6,11
9,42,7.2,9
2,43,7.4,8
3,43,6.6,7
4,43,6.6,7
5,43,N/A,N/A
7,43,6.6,9
8,43,8.4,11
9,43,7.2,11
10,43,8.5,8
2,44,7.6,8
3,44,6.6,7
4,44,7.0,8
5,44,N/A,N/A
6,44,N/A,N/A
7,44,7.6,5
8,44,7.8,12
9,44,7.6,11
2,45,7.4,8
3,45,6.9,7
4,45,6.6,7
5,45,N/A,N/A
7,45,6.8,12
8,45,7.7,10
9,45,7.2,12
10,45,7.6,7
2,46,7.4,8
3,46,6.6,7
4,46,7.0,8
5,46,N/A,N/A
6,46,5.7,7
7,46,7.5,12
8,46,7.7,11
10,46,7.1,9
2,47,7.4,8
3,47,6.7,7
4,47,6.9,7
5,47,7.2,8
6,47,7.4,5
7,47,7.2,5
8,47,8.1,13
9,47,7.5,11
10,47,8.3,7
2,48,7.4,8
3,48,6.7,7
4,48,6.9,7
5,48,6.4,9
6,48,N/A,N/A
7,48,7.4,5
8,48,7.7,11
9,48,7.1,11
10,48,7.4,7
2,49,7.5,8
3,49,7.1,8
4,49,7.0,7
5,49,7.0,8
6,49,7.4,5
7,49,7.7,10
8,49,7.6,11
9,49,7.4,11
10,49,8.3,7
2,50,7.4,8
3,50,6.6,7
4,50,6.6,7
5,50,7.2,8
6,50,N/A,N/A
7,50,7.2,12
8,50,8.2,11
9,50,7.7,11
10,50,7.7,9
2,51,7.8,10
3,51,6.6,7
4,51,5.8,10
5,51,N/A,N/A
6,51,N/A,N/A
7,51,7.5,14
8,51,7.8,11
9,51,7.3,11
2,52,7.4,8
3,52,7.2,9
4,52,6.9,7
5,52,N/A,N/A
6,52,N/A,N/A
7,52,6.9,10
8,52,7.7,11
9,52,7.3,12
2,53,7.4,8
3,53,6.7,7
4,53,6.4,7
5,53,N/A,N/A
6,53,N/A,N/A
7,53,7.7,10
8,53,7.6,15
9,53,7.2,11
10,53,7.0,9
2,54,8.0,10
3,54,6.9,8
4,54,6.3,9
5,54,N/A,N/A
6,54,N/A,N/A
7,54,7.1,9
8,54,7.6,11
2,55,7.4,8
3,55,6.6,7
4,55,6.6,7
5,55,N/A,N/A
7,55,7.2,9
8,55,7.7,9
9,55,7.6,12
10,55,8.1,7
2,56,7.4,8
3,56,6.7,7
4,56,6.9,8
5,56,N/A,N/A
6,56,7.4,9
7,56,N/A,N/A
8,56,7.7,11
9,56,7.8,13
10,56,7.6,7
2,57,7.4,8
3,57,6.6,8
4,57,6.4,7
5,57,N/A,N/A
6,57,N/A,N/A
7,57,7.8,8
8,57,7.4,12
9,57,7.4,11
2,58,7.4,8
3,58,6.7,7
4,58,6.4,7
5,58,N/A,N/A
6,58,N/A,N/A
7,58,6.8,8
8,58,7.4,10
9,58,7.2,10
10,58,8.0,13
2,59,7.4,8
3,59,6.7,7
4,59,6.4,7
5,59,N/A,N/A
6,59,N/A,N/A
7,59,7.1,8
8,59,7.9,12
9,59,7.8,11
10,59,8.5,11
2,60,7.4,8
3,60,6.6,7
4,60,6.4,7
5,60,N/A,N/A
7,60,6.9,8
8,60,7.1,11
9,60,7.6,11
10,60,7.0,9
2,61,7.4,9
3,61,6.6,7
4,61,6.4,7
5,61,N/A,N/A
6,61,N/A,N/A
7,61,6.1,9
8,61,7.8,13
9,61,7.6,14
10,61,7.7,12
2,62,7.4,8
3,62,6.7,7
4,62,6.4,7
5,62,N/A,N/A
6,62,8.0,5
7,62,6.4,9
8,62,7.6,11
9,62,7.5,12
10,62,7.6,9
2,63,7.4,8
3,63,7.6,14
4,63,6.9,7
5,63,N/A,N/A
6,63,N/A,N/A
7,63,7.1,8
8,63,7.8,11
9,63,7.5,12
10,63,8.6,8
2,64,7.4,8
3,64,8.7,20
4,64,6.7,7
5,64,N/A,N/A
6,64,N/A,N/A
7,64,7.0,5
8,64,7.8,13
9,64,7.4,12
10,64,7.9,8
2,65,8.4,14
3,65,7.3,10
4,65,6.4,7
5,65,N/A,N/A
7,65,7.0,6
8,65,7.6,12
9,65,7.4,13
10,65,8.3,9
2,66,7.4,8
3,66,6.3,9
4,66,6.7,7
5,66,7.6,5
7,66,7.4,5
8,66,7.8,11
9,66,7.2,11
10,66,8.0,8
2,67,7.4,8
3,67,7.0,7
4,67,6.6,7
5,67,N/A,N/A
7,67,N/A,N/A
8,67,7.8,12
9,67,7.5,14
2,68,7.4,8
3,68,6.4,7
4,68,6.8,8
5,68,7.4,10
7,68,6.8,10
8,68,7.9,11
9,68,7.2,12
10,68,8.1,9
2,69,7.4,8
3,69,6.6,7
4,69,7.0,8
5,69,N/A,N/A
6,69,N/A,N/A
7,69,6.9,8
8,69,7.7,13
9,69,7.3,10
2,70,7.4,8
3,70,7.0,8
4,70,7.1,9
5,70,N/A,N/A
6,70,N/A,N/A
7,70,7.6,5
8,70,7.5,11
9,70,N/A,N/A
10,70,8.0,7
2,71,7.4,8
3,71,6.7,7
4,71,6.7,7
5,71,N/A,N/A
6,71,N/A,N/A
7,71,6.0,10
8,71,7.8,9
9,71,7.8,12
10,71,6.0,7
2,72,7.5,8
3,72,6.9,8
4,72,6.4,7
5,72,7.4,5
6,72,N/A,N/A
7,72,7.0,8
8,72,7.9,11
9,72,7.3,12
2,73,7.4,8
3,73,6.6,7
4,73,7.0,8
6,73,N/A,N/A
7,73,7.2,5
8,73,7.8,10
9,73,7.3,12
10,73,7.6,5
2,74,7.4,8
3,74,7.0,8
4,74,6.4,7
5,74,N/A,N/A
6,74,N/A,N/A
7,74,7.6,5
8,74,8.0,11
9,74,7.6,11
10,74,N/A,N/A
2,75,7.4,8
3,75,7.7,9
4,75,6.6,8
5,75,7.8,8
6,75,N/A,N/A
7,75,7.1,8
8,75,7.9,10
9,75,7.6,11
10,75,7.8,9
2,76,7.4,8
3,76,6.6,8
4,76,6.6,7
5,76,7.1,9
6,76,7.2,8
8,76,8.1,10
10,76,7.9,8
2,77,6.6,9
3,77,6.9,8
4,77,6.6,7
5,77,8.1,8
6,77,7.4,5
7,77,N/A,N/A
8,77,8.0,8
9,77,7.6,12
10,77,7.0,6
2,78,7.4,8
3,78,6.8,8
4,78,6.6,7
5,78,8.2,10
6,78,7.4,5
7,78,5.9,9
8,78,8.1,9
9,78,7.7,11
10,78,N/A,N/A
2,79,7.5,8
3,79,6.6,7
4,79,7.0,7
6,79,7.4,5
7,79,7.4,8
8,79,7.8,8
9,79,7.9,10
2,80,7.7,9
3,80,6.6,7
4,80,6.6,7
6,80,N/A,N/A
7,80,7.8,5
8,80,8.4,8
9,80,7.7,11
2,81,6.4,9
3,81,7.6,9
4,81,7.3,9
6,81,N/A,N/A
7,81,7.8,5
8,81,8.0,11
9,81,7.7,10
2,82,7.7,10
3,82,6.6,7
4,82,6.7,7
6,82,7.6,8
7,82,7.4,10
8,82,8.0,8
9,82,8.1,14
2,83,7.4,8
3,83,6.6,7
4,83,6.9,7
5,83,7.0,6
6,83,6.8,8
7,83,7.0,8
8,83,7.9,10
9,83,7.8,10
10,83,7.2,12
2,84,8.8,14
3,84,7.0,7
4,84,7.6,8
5,84,7.4,5
6,84,8.1,11
7,84,7.4,9
8,84,8.5,12
9,84,7.3,10
10,84,7.6,5
2,85,7.4,8
3,85,6.9,7
4,85,6.9,7
5,85,7.2,6
6,85,7.2,5
7,85,7.3,9
8,85,8.5,12
9,85,7.7,10
2,86,7.4,8
3,86,6.6,7
4,86,6.6,7
5,86,7.0,5
6,86,7.0,5
7,86,N/A,N/A
8,86,8.1,9
9,86,7.3,15
2,87,7.4,8
3,87,N/A,N/A
4,87,N/A,N/A
5,87,7.0,5
6,87,7.2,5
7,87,7.5,8
8,87,8.0,8
9,87,7.5,13
2,88,7.4,8
3,88,7.1,7
4,88,6.6,7
5,88,7.7,10
6,88,7.6,5
7,88,7.5,11
8,88,8.4,11
9,88,6.5,13
10,88,8.8,8
2,89,7.4,8
3,89,N/A,N/A
4,89,7.9,10
5,89,N/A,N/A
6,89,N/A,N/A
7,89,7.5,6
8,89,8.4,10
9,89,7.7,10
10,89,8.0,9
2,90,7.1,8
3,90,6.1,9
4,90,6.7,7
6,90,8.2,8
7,90,8.1,7
8,90,8.0,10
9,90,7.9,8
10,90,7.8,5
2,91,7.2,8
3,91,8.0,8
4,91,6.9,7
6,91,N/A,N/A
7,91,7.2,5
8,91,8.0,10
9,91,7.2,9
10,91,8.2,8
2,92,7.2,8
3,92,6.2,12
4,92,6.9,7
6,92,N/A,N/A
7,92,7.5,11
8,92,7.9,9
9,92,7.8,10
2,93,8.0,10
3,93,6.4,7
4,93,6.6,7
6,93,N/A,N/A
7,93,8.0,7
8,93,7.9,9
9,93,8.1,9
10,93,8.6,7
2,94,7.2,8
3,94,6.9,7
4,94,6.6,7
6,94,N/A,N/A
7,94,7.4,5
8,94,8.0,8
9,94,7.7,9
2,95,7.7,9
3,95,5.6,9
4,95,6.6,7
6,95,N/A,N/A
7,95,6.9,10
9,95,8.0,8
2,96,7.4,9
3,96,N/A,N/A
4,96,6.6,7
5,96,7.8,5
6,96,N/A,N/A
7,96,6.7,13
8,96,7.1,10
9,96,8.1,10
2,97,7.2,8
3,97,N/A,N/A
4,97,6.9,7
6,97,N/A,N/A
7,97,7.0,9
8,97,7.5,11
9,97,7.7,10
2,98,7.1,8
3,98,N/A,N/A
4,98,6.7,7
5,98,7.8,5
6,98,N/A,N/A
7,98,7.3,9
8,98,8.2,10
9,98,7.7,9
10,98,8.3,10
2,99,7.1,10
3,99,N/A,N/A
4,99,6.6,7
6,99,N/A,N/A
7,99,7.8,6
8,99,7.7,11
9,99,7.9,10
10,99,8.5,11
2,100,8.1,10
3,100,N/A,N/A
4,100,6.6,7
6,100,N/A,N/A
7,100,8.0,5
9,100,7.6,12
2,101,7.1,8
3,101,6.0,7
4,101,6.5,8
5,101,7.0,10
6,101,N/A,N/A
7,101,7.4,9
8,101,7.8,10
9,101,8.0,7
2,102,7.7,9
3,102,6.6,7
4,102,6.7,7
6,102,N/A,N/A
7,102,7.1,8
8,102,8.2,11
9,102,7.8,10
2,103,7.7,9
3,103,6.1,8
4,103,6.6,7
7,103,7.7,6
8,103,7.7,9
9,103,7.8,9
2,104,7.7,9
3,104,6.9,7
4,104,6.4,7
6,104,N/A,N/A
7,104,7.4,9
8,104,7.8,8
9,104,N/A,N/A
2,105,7.7,12
3,105,6.1,7
4,105,6.4,7
7,105,7.6,5
8,105,7.4,9
9,105,8.0,10
10,105,8.1,7
2,106,8.0,9
3,106,N/A,N/A
4,106,6.1,7
7,106,7.8,5
8,106,7.8,10
9,106,7.7,10
2,107,7.4,8
3,107,N/A,N/A
4,107,6.7,7
5,107,N/A,N/A
6,107,N/A,N/A
7,107,7.3,9
8,107,8.0,8
9,107,6.8,5
10,107,8.1,8
2,108,7.2,9
3,108,7.6,9
4,108,6.4,7
5,108,N/A,N/A
7,108,7.6,10
8,108,8.1,8
9,108,7.9,9
10,108,7.7,9
2,109,7.2,8
3,109,7.2,8
4,109,6.6,7
5,109,N/A,N/A
6,109,N/A,N/A
7,109,8.0,11
8,109,8.0,9
9,109,7.8,9
2,110,7.6,9
3,110,7.0,8
4,110,6.6,7
6,110,8.0,5
7,110,8.0,8
9,110,7.8,5
2,111,7.1,8
3,111,5.4,11
4,111,N/A,N/A
6,111,N/A,N/A
7,111,7.4,5
8,111,8.1,8
9,111,7.6,5
10,111,8.2,9
2,112,7.6,8
3,112,5.9,10
4,112,7.2,5
5,112,N/A,N/A
6,112,N/A,N/A
7,112,N/A,N/A
8,112,8.0,5
9,112,N/A,N/A
10,112,8.0,10
2,113,7.4,8
3,113,6.7,7
4,113,7.0,8
5,113,7.8,5
6,113,6.4,5
7,113,N/A,N/A
8,113,7.6,10
9,113,7.4,10
10,113,7.9,7
2,114,6.4,10
3,114,6.1,9
4,114,7.0,8
6,114,N/A,N/A
7,114,7.2,8
8,114,7.7,10
9,114,8.0,7
2,115,7.7,9
3,115,N/A,N/A
4,115,6.8,5
5,115,5.8,5
8,115,7.8,9
9,115,7.9,9
10,115,8.2,11
2,116,7.4,8
3,116,6.6,7
4,116,6.8,5
5,116,7.4,11
6,116,N/A,N/A
8,116,7.8,12
9,116,8.5,11
2,117,7.5,8
3,117,6.9,7
4,117,6.8,5
5,117,7.2,10
6,117,8.0,9
8,117,7.7,9
9,117,8.2,10
2,118,7.3,9
3,118,6.6,7
4,118,6.6,5
5,118,6.9,10
6,118,N/A,N/A
8,118,7.5,8
9,118,7.9,9
10,118,7.7,11
2,119,7.6,8
3,119,6.9,7
4,119,7.2,5
5,119,7.5,11
8,119,7.3,9
9,119,8.0,7
2,120,6.3,10
3,120,6.9,7
4,120,7.2,5
5,120,7.8,8
6,120,7.2,5
8,120,7.9,9
9,120,8.1,7
2,121,7.5,8
3,121,7.0,7
4,121,6.8,5
5,121,6.3,9
8,121,7.4,5
9,121,7.8,9
2,122,7.6,8
3,122,6.6,7
4,122,6.6,5
5,122,7.6,8
6,122,N/A,N/A
8,122,7.8,8
9,122,8.4,8
2,123,7.2,8
3,123,6.4,7
4,123,7.0,8
5,123,7.5,8
6,123,N/A,N/A
8,123,7.4,5
9,123,8.0,7
10,123,7.9,10
2,124,7.2,8
3,124,N/A,N/A
4,124,N/A,N/A
6,124,N/A,N/A
