id,episode_number,episode_airing_order,title,air_date,canonical_url,content_rating,description,duration,image,publish_date,views,imdb_url,season_id,season_number,season_title,series_id,series_title
d5df0c98-a880-4a40-9796-d0aed200ec7f,21033,33,"December 7, 2015 - Jon Stewart",1449547200,http://www.cc.com/full-episodes/04thde/the-daily-show-with-trevor-noah-december-7--2015---jon-stewart-season-21-ep-21033,general audience,"MSNBC ransacks the home of terrorism suspects on live TV, and former Daily Show host Jon Stewart returns to shame Congress into renewing health care for 9/11 first responders.",1604,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21033/ds_21_033.jpg,1449547200,"389,101",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
8a3298ab-bccc-4ea1-b34b-702457a75bc0,21032,032,"December 3, 2015 - Idris Elba",1449201600,http://www.cc.com/full-episodes/95di1k/the-daily-show-with-trevor-noah-december-3--2015---idris-elba-season-21-ep-21032,general audience,"President Obama addresses a mass shooting in Southern California, Ted Cruz releases hours of raw footage from filming campaign ads, and Idris Elba discusses ""Luther.""",1288,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21032/ds_21_032.jpg,1449201600,"269,507",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
c99b887e-5162-4c75-a691-04d1fc1c916f,21031,031,"December 2, 2015 - Lupita Nyong'o",1449115200,http://www.cc.com/full-episodes/l88kef/the-daily-show-with-trevor-noah-december-2--2015---lupita-nyong-o-season-21-ep-21031,general audience,"Hacking activist group Anonymous declares war on ISIS, Jordan Klepper examines the food industry, and Lupita Nyong'o discusses ""Star Wars: The Force Awakens"" and ""Eclipsed.""",1288,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21031/ds_21_031.jpg,1449115200,"195,069",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
9ed7087e-1426-4047-b6c7-a3e3a2da7371,21030,030,"December 1, 2015 - Nick Cannon",1449028800,http://www.cc.com/full-episodes/kzu5jg/the-daily-show-with-trevor-noah-december-1--2015---nick-cannon-season-21-ep-21030,general audience,"World leaders head to Paris for the COP21 climate conference, Jessica Williams searches for a hoverboard that actually flies, and Nick Cannon discusses the film ""Chi-Raq.""",1289,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21030/ds_21_030.jpg,1449028800,"150,339",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
e5551a4e-42d2-46b2-b4dd-f3e141dcd064,21029,029,"November 30, 2015 - Spike Lee",1448942400,http://www.cc.com/full-episodes/m0h4o1/the-daily-show-with-trevor-noah-november-30--2015---spike-lee-season-21-ep-21029,general audience,"Donald Trump mocks a handicapped reporter, Jordan Klepper weighs in on a shooting at Planned Parenthood, and filmmaker Spike Lee discusses ""Chi-Raq.""",1289,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21029/ds_21_029.jpg,1448942400,"175,160",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
155bc470-d674-436a-8ca3-ddec648d8043,21028,028,"November 19, 2015 - David Rees",1447992000,http://www.cc.com/full-episodes/frggxa/the-daily-show-with-trevor-noah-november-19--2015---david-rees-season-21-ep-21028,general audience,"Mike Huckabee equates Syrian refugees with food, a lone Missourian decides the fate of her district's sales tax, and David Rees talks about ""Going Deep with David Rees.""",1290,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21028/ds_21_028.jpg,1447992000,"324,765",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
ed40b1ac-3edf-44e0-89c6-53d85eeb5a21,21027,027,"November 18, 2015 - Ted Koppel",1447905600,http://www.cc.com/full-episodes/rjdih4/the-daily-show-with-trevor-noah-november-18--2015---ted-koppel-season-21-ep-21027,general audience,"Jessica Williams explains why Ben Carson dropped a foreign policy adviser, Kristen Schaal weighs in on schools that prohibit leggings, and Ted Koppel discusses ""Lights Out.""",1290,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21027/ds_21_027.jpg,1447905600,"234,505",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
824c2055-9755-440f-aa89-c63da890abe2,21026,026,"November 17, 2015 - Timbaland",1447819200,http://www.cc.com/full-episodes/853ilx/the-daily-show-with-trevor-noah-november-17--2015---timbaland-season-21-ep-21026,general audience,"Trevor examines the politicization of the ISIS attacks in Paris, Roy Wood Jr. explains why Alabama is refusing Syrian refugees, and Timbaland discusses ""The Emperor of Sound.""",1290,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21026/ds_21_026.jpg,1447819200,"207,233",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
fa9eafb3-aeb0-4e64-a5fc-52bc65869466,21025,025,"November 16, 2015 - David Holbrooke",1447732800,http://www.cc.com/full-episodes/ytj6rp/the-daily-show-with-trevor-noah-november-16--2015---david-holbrooke-season-21-ep-21025,general audience,"Trevor addresses the terrorist attacks in Paris, Desi Lydic fact-checks the latest Democratic debate, and David Holbrooke discusses his documentary ""The Diplomat.""",1289,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21025/ds_21_025.jpg,1447732800,"212,962",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
960b8cce-5d29-492a-ac46-5a8fe697698a,21024,024,"November 12, 2015 - Christine and The Queens",1447387200,http://www.cc.com/full-episodes/a6vttp/the-daily-show-with-trevor-noah-november-12--2015---christine-and-the-queens-season-21-ep-21024,general audience,"Jordan Klepper investigates campaign finance reform, Trevor presents The Myanmar Daily Show, and Christine and The Queens perform ""Tilted"" and ""It.""",939,http://1.images.comedycentral.com/images/shows/tds/videos/season_21/21024/ds_21_024.jpg,1447387200,"206,604",,14a0c915-02b6-4dbe-8053-873c1f417447,21,21: The Daily Show with Trevor Noah,7c2d44b4-c8b1-43a9-9bfc-32af988eab20,The Daily Show with Trevor Noah
