season,episode_number,rating,rating_count
20,13,7.9,20
1,14,N/A,N/A
2,14,N/A,N/A
3,14,N/A,N/A
4,14,N/A,N/A
5,14,N/A,N/A
6,14,N/A,N/A
7,14,N/A,N/A
8,14,5.8,8
9,14,6.6,7
10,14,5.8,9
11,14,7.3,10
12,14,6.2,12
13,14,7.7,9
14,14,7.5,15
15,14,6.5,17
16,14,8.3,15
17,14,6.9,15
18,14,6.7,17
19,14,8.2,25
20,14,7.8,18
1,15,N/A,N/A
2,15,N/A,N/A
3,15,N/A,N/A
4,15,N/A,N/A
5,15,N/A,N/A
6,15,N/A,N/A
7,15,N/A,N/A
8,15,N/A,N/A
9,15,7.1,11
10,15,7.0,7
11,15,6.8,10
12,15,6.2,11
13,15,7.2,8
14,15,7.9,15
15,15,6.6,15
16,15,7.4,12
17,15,6.3,13
18,15,7.1,17
19,15,7.9,24
20,15,7.9,17
1,16,N/A,N/A
2,16,N/A,N/A
3,16,N/A,N/A
4,16,N/A,N/A
5,16,N/A,N/A
6,16,3.6,20
7,16,N/A,N/A
8,16,N/A,N/A
9,16,5.1,11
10,16,7.1,7
11,16,4.3,29
12,16,5.7,10
13,16,6.6,10
14,16,7.6,16
15,16,6.7,16
16,16,7.7,14
17,16,7.3,13
18,16,7.4,17
19,16,8.1,22
20,16,7.5,17
1,17,N/A,N/A
2,17,N/A,N/A
3,17,N/A,N/A
4,17,N/A,N/A
5,17,N/A,N/A
6,17,N/A,N/A
7,17,N/A,N/A
8,17,N/A,N/A
9,17,6.2,8
10,17,6.0,8
11,17,3.9,29
12,17,6.2,10
13,17,6.9,12
14,17,7.6,17
15,17,7.1,17
16,17,7.7,14
17,17,6.4,20
18,17,7.4,17
19,17,7.7,22
20,17,7.7,24
1,18,N/A,N/A
2,18,N/A,N/A
3,18,N/A,N/A
4,18,N/A,N/A
5,18,N/A,N/A
6,18,N/A,N/A
7,18,N/A,N/A
8,18,7.3,6
9,18,6.1,11
10,18,7.1,7
11,18,7.3,10
12,18,7.0,12
13,18,7.4,10
14,18,7.8,14
15,18,6.9,17
16,18,6.7,14
17,18,6.9,18
18,18,7.2,16
19,18,7.7,23
20,18,7.5,20
1,19,N/A,N/A
2,19,N/A,N/A
3,19,N/A,N/A
4,19,N/A,N/A
5,19,N/A,N/A
6,19,N/A,N/A
7,19,N/A,N/A
8,19,N/A,N/A
9,19,7.6,9
10,19,5.9,8
11,19,4.2,29
12,19,6.3,10
13,19,6.1,14
14,19,7.6,12
15,19,7.2,17
16,19,8.2,13
17,19,6.9,18
18,19,7.1,17
19,19,7.7,21
20,19,8.1,25
1,20,N/A,N/A
2,20,N/A,N/A
3,20,N/A,N/A
4,20,N/A,N/A
5,20,N/A,N/A
6,20,N/A,N/A
7,20,5.7,6
8,20,8.3,6
9,20,6.2,8
10,20,6.2,8
11,20,8.2,10
12,20,5.8,13
13,20,6.5,15
14,20,7.9,13
15,20,7.2,16
16,20,6.1,15
17,20,7.9,14
18,20,7.3,18
19,20,8.0,23
20,20,8.2,19
1,21,N/A,N/A
2,21,N/A,N/A
3,21,N/A,N/A
4,21,N/A,N/A
5,21,N/A,N/A
6,21,N/A,N/A
7,21,6.7,7
8,21,4.0,5
9,21,5.4,9
10,21,7.0,7
11,21,3.2,26
12,21,6.1,11
13,21,7.5,11
14,21,7.8,10
15,21,7.2,15
16,21,7.1,8
17,21,7.1,14
18,21,7.5,22
19,21,7.8,21
20,21,7.3,23
1,22,6.6,5
2,22,N/A,N/A
3,22,N/A,N/A
4,22,N/A,N/A
5,22,N/A,N/A
6,22,8.3,9
7,22,N/A,N/A
8,22,N/A,N/A
9,22,6.2,8
10,22,5.6,9
11,22,7.0,8
12,22,6.5,11
13,22,7.2,11
14,22,7.6,8
15,22,6.5,16
16,22,6.5,12
17,22,7.4,16
18,22,6.9,15
19,22,7.3,21
20,22,7.8,18
1,23,N/A,N/A
2,23,N/A,N/A
3,23,N/A,N/A
4,23,N/A,N/A
5,23,N/A,N/A
6,23,N/A,N/A
7,23,N/A,N/A
8,23,N/A,N/A
9,23,7.1,7
10,23,6.5,8
11,23,7.0,9
12,23,6.2,9
13,23,6.4,11
14,23,7.2,8
15,23,6.6,18
16,23,7.7,9
17,23,7.2,17
18,23,6.6,18
19,23,8.4,25
20,23,6.9,22
1,24,N/A,N/A
2,24,N/A,N/A
3,24,N/A,N/A
4,24,N/A,N/A
5,24,N/A,N/A
6,24,N/A,N/A
7,24,7.4,5
8,24,N/A,N/A
9,24,5.4,9
10,24,7.4,9
11,24,7.2,11
12,24,6.4,11
13,24,7.5,10
14,24,7.7,13
15,24,6.8,17
16,24,8.0,9
17,24,7.7,19
18,24,7.5,17
